what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357607047484
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1357607047484
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1357607047484
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1357607047484
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1357607047484
os,sysinfo,,,"win32",1357607047484
arch,sysinfo,,,"x86",1357607047484
ws,sysinfo,,,"win32",1357607047484
locale,sysinfo,,,"zh_CN",1357607047484
processors,sysinfo,,,"2",1357607047484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357607047484
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1357607047484
java.specification.name,sysinfo,,,"Java Platform API Specification",1357607047484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357607047484
java.specification.version,sysinfo,,,"1.6",1357607047484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1357607047484
java.version,sysinfo,,,"1.6.0_25",1357607047484
java.vm.info,sysinfo,,,"mixed mode, sharing",1357607047484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1357607047484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357607047484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357607047484
java.vm.specification.version,sysinfo,,,"1.0",1357607047484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1357607047484
java.vm.version,sysinfo,,,"20.0-b11",1357607047484
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1357607047484
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1357607048625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357607049187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357607053390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357607063078
